old_path,url
/directory/default.html,/people
/directory/faculty.html,/people/faculty
/directory/experts.html,/people/areas-expertise
/directory/gradstudents.html,/students/resources-graduate-students/graduate-student-directory
/directory/ljf8,/node/250406
/directory/amw3,/node/249181
/directory/blm2,/node/249411
/directory/csv3,/node/249336
/directory/jmd44,/node/249341
/directory/klh249,/node/249871
/directory/lmk8,/node/249191
/directory/mc31,/node/249176
/directory/mmh5,/node/249186
/directory/ps39,/node/249436
/directory/rm527,/node/249701
/directory/smd289,/node/249896
/directory/sep225,/node/250086
/directory/sbg13,/node/250431
/directory/vn11,/node/249161
/directory/wms78,/node/250041
/directory/dm627,/node/250656
/directory/mc64,/node/250276
/directory/rms43,/node/250746
/directory/slk12,/node/250581
/directory/aor4,/node/249911
/directory/jdm327,/node/250056
/directory/lb542,/node/250046
/directory/tb353,/node/249926
/directory/bk30,/node/250166
/directory/crm3,/node/249421
/directory/dss7,/node/250701
/directory/eck4,/node/249471
/directory/fdb4,/node/250201
/directory/gsf2,/node/250391
/directory/grb3,/node/250216
/directory/gj10,/node/250546
/directory/jma7,/node/250116
/directory/kjb245,/node/250006
/directory/lal8,/node/249201
/directory/lmk12,/node/250556
/directory/rmd5,/node/249241
/directory/rm743,/node/249791
/directory/rmh2,/node/250541
/directory/rss14,/node/250776
/directory/rge2,/node/250376
/directory/rh363,/node/250511
/directory/srh25,/node/250486
/directory/vlp33,/node/249811
/directory/ak564,/node/250566
/directory/brb76,/node/249746
/directory/cgl8,/node/249386
/directory/ch662,/node/249946
/directory/dlc283,/node/250106
/directory/djc88,/node/249586
/directory/ejl44,/node/250631
/directory/es656,/node/249856
/directory/ems65,/node/249511
/directory/jgj52,/node/249951
/directory/jdt35,/node/249591
/directory/jam886,/node/250001
/directory/jlp359,/node/249996
/directory/jrw354,/node/249776
/directory/jz76,/node/249501
/directory/kkm74,/node/250636
/directory/kal238,/node/250601
/directory/kms342,/node/249731
/directory/kn64,/node/249371
/directory/lar284,/node/249936
/directory/lhc62,/node/250326
/directory/mpw68,/node/249766
/directory/msh46,/node/250531
/directory/mcs378,/node/249901
/directory/mh75,/node/249651
/directory/mww59,/node/249761
/directory/msa224,/node/249941
/directory/mls266,/node/249621
/directory/nah36,/node/250521
/directory/peq2,/node/251196
/directory/sav22,/node/250831
/directory/sam269,/node/249641
/directory/thw3,/node/250866
/directory/vbm5,/node/249741
/directory/ws283,/node/250791
/directory/wae1,/node/249166
/directory/cjb39,/node/250206
/directory/drb22,/node/250226
/directory/dmf22,/node/250401
/directory/erb4,/node/250186
/directory/hhr5,/node/250736
/directory/he76,/node/250386
/directory/jy335,/node/250876
/directory/lv39,/node/250841
/directory/mjb62,/node/250196
/directory/rac79,/node/250286
/directory/sv282,/node/250886
/directory/smb23,/node/250246
/directory/tpg3,/node/250426
/directory/zen2,/node/250686
/directory/ajd88,/node/249681
/directory/bsp2,/node/249131
